order_id,order_date,region,country,product,category,quantity,unit_price,discount,revenue,customer_segment,channel,sales_rep,returned
SO-100206,2023-01-01,APAC,Japan,Ink Bottle Sepia 50ml,Ink,3,18,0,45.9,Small Business,Online,D. Rossi,false
SO-100811,2023-01-01,LATAM,Brazil,Leather Journal Cover,Accessories,1,42,0.05,33.92,Enterprise,Retail,H. Silva,false
SO-100968,2023-01-01,LATAM,Brazil,Fountain Pen Classic,Writing,2,48,0,81.6,Consumer,Online,C. Nakamura,false
SO-102443,2023-01-01,EU,Netherlands,Leather Journal Cover,Accessories,2,42,0,71.4,Small Business,Retail,G. Patel,false
SO-103229,2023-01-01,APAC,Australia,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,D. Rossi,false
SO-103469,2023-01-01,EU,Spain,Gel Pen 5-pack,Writing,3,9.9,0.2,20.2,Consumer,Online,A. Okafor,false
SO-104807,2023-01-01,EU,Netherlands,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Consumer,Online,H. Silva,true
SO-105362,2023-01-01,NA,Mexico,Quill Notebook A4,Stationery,1,16,0,13.6,Consumer,Online,C. Nakamura,false
SO-105366,2023-01-01,APAC,Singapore,Monitor Riser Oak,Desk,1,64,0,54.4,Consumer,Online,A. Okafor,false
SO-100436,2023-01-02,LATAM,Brazil,Monitor Riser Oak,Desk,2,64,0.05,103.36,Consumer,Retail,F. Moreau,false
SO-100561,2023-01-02,EU,Netherlands,Quill Notebook A5,Stationery,1,12.5,0.1,9.56,Consumer,Online,G. Patel,false
SO-100998,2023-01-02,APAC,Japan,Fountain Pen Brass,Writing,1,79,0,67.15,Small Business,Wholesale,F. Moreau,false
SO-101473,2023-01-02,EU,Spain,Desk Mat Linen,Desk,3,34,0,86.7,Small Business,Online,B. Lindqvist,false
SO-102492,2023-01-02,APAC,Singapore,Fountain Pen Classic,Writing,1,48,0.05,38.76,Consumer,Retail,G. Patel,false
SO-102697,2023-01-02,LATAM,Argentina,Calligraphy Starter Kit,Writing,1,58,0.05,46.83,Consumer,Online,G. Patel,false
SO-104762,2023-01-02,APAC,India,Quill Notebook A4,Stationery,3,16,0,40.8,Consumer,Retail,A. Okafor,false
SO-105109,2023-01-02,LATAM,Brazil,Ink Bottle Sepia 50ml,Ink,1,18,0.1,13.77,Consumer,Online,F. Moreau,false
SO-105788,2023-01-02,APAC,Singapore,Ink Bottle Sepia 50ml,Ink,1,18,0,15.3,Small Business,Online,A. Okafor,false
SO-105991,2023-01-02,MEA,South Africa,Desk Mat Linen,Desk,1,34,0.05,27.46,Consumer,Retail,H. Silva,false
SO-100645,2023-01-03,EU,United Kingdom,Leather Journal Cover,Accessories,5,42,0,178.5,Small Business,Retail,F. Moreau,false
SO-101901,2023-01-03,LATAM,Argentina,Planner 2024,Stationery,5,24,0.05,96.9,Small Business,Retail,D. Rossi,false
SO-102714,2023-01-03,EU,Netherlands,Desk Mat Linen,Desk,1,34,0.05,27.46,Consumer,Retail,D. Rossi,false
SO-102812,2023-01-03,NA,Mexico,Ink Cartridge Midnight,Ink,1,6.5,0,5.53,Consumer,Online,F. Moreau,false
SO-103775,2023-01-03,NA,Canada,Desk Mat Linen,Desk,1,34,0.2,23.12,Consumer,Online,H. Silva,false
SO-105299,2023-01-03,APAC,Australia,Planner 2024,Stationery,1,24,0,20.4,Consumer,Online,F. Moreau,false
SO-101489,2023-01-04,NA,Canada,Pen Case Canvas,Accessories,1,22,0,18.7,Small Business,Online,E. Haddad,false
SO-104164,2023-01-04,EU,France,Desk Mat Linen,Desk,2,34,0,57.8,Consumer,Retail,E. Haddad,false
SO-104751,2023-01-04,NA,United States,Planner 2024,Stationery,5,24,0.1,91.8,Small Business,Online,A. Okafor,false
SO-105689,2023-01-04,NA,Mexico,Sticky Notes Pastel,Stationery,5,5.5,0.2,18.7,Consumer,Online,G. Patel,false
SO-100750,2023-01-05,LATAM,Brazil,Monitor Riser Oak,Desk,1,64,0.1,48.96,Consumer,Online,B. Lindqvist,false
SO-102674,2023-01-05,EU,United Kingdom,Gel Pen 5-pack,Writing,1,9.9,0.05,7.99,Consumer,Wholesale,B. Lindqvist,false
SO-102722,2023-01-05,EU,United Kingdom,Fountain Pen Brass,Writing,1,79,0.1,60.44,Enterprise,Online,D. Rossi,false
SO-103335,2023-01-05,NA,Mexico,Sticky Notes Pastel,Stationery,1,5.5,0,4.68,Consumer,Retail,E. Haddad,false
SO-103523,2023-01-05,NA,Mexico,Quill Notebook A5,Stationery,2,12.5,0.05,20.19,Small Business,Wholesale,C. Nakamura,false
SO-104979,2023-01-05,EU,Netherlands,Pen Case Canvas,Accessories,1,22,0.1,16.83,Small Business,Online,F. Moreau,false
SO-105422,2023-01-05,EU,United Kingdom,Quill Notebook A5,Stationery,2,12.5,0,21.25,Consumer,Online,C. Nakamura,false
SO-105720,2023-01-05,APAC,Australia,Ink Bottle Sepia 50ml,Ink,3,18,0,45.9,Small Business,Online,B. Lindqvist,false
SO-101461,2023-01-06,MEA,Kenya,Quill Notebook A4,Stationery,1,16,0,13.6,Small Business,Retail,B. Lindqvist,false
SO-101850,2023-01-06,MEA,Kenya,Ink Cartridge Midnight,Ink,2,6.5,0,11.05,Consumer,Online,D. Rossi,true
SO-102653,2023-01-06,LATAM,Chile,Pen Stand Walnut,Desk,3,29,0,73.95,Consumer,Online,D. Rossi,false
SO-102865,2023-01-06,APAC,Singapore,Fountain Pen Brass,Writing,3,79,0,201.45,Consumer,Online,H. Silva,false
